title,lyrics
Eyes Like Sky,"Eyes Like Sky Lyrics[Verse 1]
Hell yeah
A blind boy sees a green girl
She drives a green car through a dream world
She meets up with a green club
And talks of saving the earth from itself
A blind boy saw a blue man
Who rides a blue bus through a nightmare
He leaves word to a blue home
But the blue seems different since she's passed away
[Pre-Chorus]
And the same boy with sunken eyes saw me
And described yellow so perfectly

[Chorus]
Said he's watching
Watching
Watching
With eyes like sky
Eyes like I've never seen

[Verse 2]
A blind boy became a kind man
Who painted white lights on a canvas
He once said he didn't write songs
Cause making music would be selfish
And back then he saw the flags fly
Seen them fight and divide for it
He said war is for those who foresee it
But what good is border to me yeah, yeah

[Pre-Chorus]
And the same man with sunken eyes saw me
And described yellow so perfectly

[Chorus]
Said he's watching
Watching
Watching
With eyes like sky
Eyes like I've never seen
You might also like[Bridge]
I said ""I wish you could see the ocean""
He said ""I wish you could see hope""
I said ""have you ever seen the mountain?""
He said ""no, but my faith could move those""
Ohhh woah
I said ""I wish you could see the stars""
He told me I should see love
Love
Oh yeah

[Chorus]
Said he's watching
Watching
Watching
With eyes like sky
Eyes like I've never seen23Embed"
Miss You So,"Miss You So Lyrics[Intro]
Mafia

[Verse 1]
I’ll stack these magazines in the corner
After I’m done with them
And I still got the same hope that I started with
That you’ll be in one of them
My camera shed some tears since you left him
With nothing, with nothing
[Pre-Chorus]
How am I supposed to remember? Oh
I got the memories
But memories fade, baby
What am I gonna show to my kids, girl? Oh
When I’m older, and my mind is telling me to forget you
What’s gonna make me remember?

[Chorus]
That’s why I was always taking pictures, pictures (Ooo)
'Cause I didn’t wanna miss a thing, miss a thing
Tell me how could you take the pictures, pictures (Ooo)
When you knew they were all that I had left, nothing left
They were part of our history, this story (Yeah, yeah)
I was always taking pictures
'Cause I didn’t wanna miss you so bad, miss you this bad
Miss you so bad, miss you so

[Verse 2]
We didn’t make love
We celebrated its invention (Yeah)
Confetti on the mattress, I used to have those images (Oh, yeah)
Tonight I came home they were just embers in the fire
Along with my hard drive (No, no)
No notes, no goodbye
You might also like[Pre-Chorus]
How the hell am I supposed to remember?
Ooo, tell me now, I got the memories
But memories don’t last…
What am I gonna show to my kids, baby? Yeah, yeah, ooo
When I’m older, and my mind’s telling me to forget you
What’s gonna make me remember?

[Chorus]
That’s why I was always taking pictures, pictures (Ooo)
'Cause I didn’t wanna miss a thing, miss a thing
Tell me how could you take the pictures, pictures (Ooo)
When you knew they were all that I had left, nothing left
They were part of our history, this story (Yeah, yeah)
I was always taking pictures
'Cause I didn’t wanna miss you (With flash)

[Verse 3]
No videos, no polaroids, or (With flash)
No record of the love we had, or (With flash)
My Nikon wasn’t fast enough (With flash, with with with flash)
To catch my heart break in half
No smiles on my picture frame, no (With flash)
Just got them
Little basic ones that the pictures frames come with (With flash)
Models, wedding pictures, you know (With flash, with with with flash)
[Chorus]
That’s why I was always taking pictures, pictures (Oh, baby)
'Cause I didn’t wanna miss a thing, miss a thing
Tell me how could you take the pictures, pictures? (Ooo)
When you knew they were all that I had left, nothing left
They were part of our history, this story (Ooo, ooo)
I was always taking pictures
'Cause I didn’t wanna miss you so bad, miss you this bad
Miss you so bad, miss you so…17Embed"
Voodoo,"Voodoo Lyrics[Verse]
Darker times
They're telling boulder heavy lies
Looks like all we've got is each other
The truth is obsolete
Remember when all I had was my mother
She didn't compromise
She could recognize, voodoo
Our daughters and our sons
Are just candles in the sun, voodoo
Don't let him see divide, hm
Don't you let her see divide, voodoo
[Hook]
She's got the whole wide world in her juicy fruit
He's got the whole wide world in his pants
He wrapped the whole wide world in a wedding band
Then put the whole wide world on her hands
She's got the whole wide world in her hands
He's got the whole wide world in his hands, in his handsYou might also like36Embed"
Not Just Money,"TranslationsEnglishNot Just Money Lyrics[Skit: Rosie Watson]
Stop thinking of this as being money
It's just money, I'ma make more
No, no no no no no
Please decondition yourself
It's not just money
It's happiness
It's the difference between happy, being happy and sad
It's the difference between having a home and living on the streets
That's what it is, it's not just money
It's so much more than that
Right now it's the difference between you being able to go to a prom
And disappointing a girl
As I told you from the beginning, I don't have money
I have bills to pay, but that meant nothing to you
Absolutely nothing
Let's see, I have
Ooh yeah, I'ma make myself a hot link when I get home
It meant nothing to you
Saving my seven dollars11Embed"
Blue Whale,"Blue Whale Lyrics[Verse 1]
Tropical vibe, coconut milk and shaved ice
My soul glow with the low cut, no jheri curl, Jerry Rice
Boogie board on the rip tide
Parasail and deep dive, won't think twice
Your little baby bone boy killin' me
Swearing he's grown when he got that steel
But he ain't swam with that blue whale
I ain't swam with that ho neither, Earl said that world real
Sit back and watch the water, hope the monster don't wag his tail
And send that big wave over while I'm showin' off my pirate grill
To the baddies walkin' by me, showin' skin because it's nothing
My little brother servin' molly 'cause that bill due Monday
And my passport's buried and my home town flooded
With just a little bit of water, but my shoes still muddy
And if I ever have a daughter, I wonder what I could call her?
Nine months after I fuck on the beach, I guess I call her Karma
Copped a jet ski with the booster seat, I'm kiddin' but I'm ballin'
Just playin' but I'm serious, I'm witted and I'm wildin'
[Chorus]
This life goes on, man, that's one thing about it
This life goes on, dawg, that's one thing about it
I'm feelin' what you're sayin', you're tryin' to get around it
But life goes on, pimpin', the wise don't doubt it

[Verse 2]
Stuck in the sky, first time upside down on the whole ride
And I wasn't much into the type that my bros like
So I never really had no wife and that's alright
""Black woman ain't got no man,"" that's what she said to me
Yeah she did, that you can date outside your race, I mean
I ain't supposed to show my love
Judge gotta like my case, I mean
Somebody please switch my plates, ship my car to Rome
5k on the wheels, still ain't ridin' chrome
Backpack rapper skills, veteran nigga deal
So let irrelevant nigga do what irrelevant nigga feel
Let a regular nigga judge
Because his gavel fake and he regular, still
How that gravel taste? How you paid your medical bill?
Sands white on my tan feet, Colosseum in the back seat
Straw hut where the beach be
Like screen saver when your Mac sleep
Relaxing, I ain't racin' no fuckin' rats, I'm relaxing
And if it's wrong to ya
You might also like[Chorus]
Well, life goes on, brother, that's one thing about it
Life goes on, my nigga, one thing about it
I'm sayin' what you're seein', we tryin' to talk around it
But life goes on, pimpin', the wise don't doubt it31Embed"
Mine,"Mine Lyrics[Chorus]
How come the ecstasy always depresses me so?
Chemically, I don't have no more new places to go
How come the ecstasy always depresses me so?
Chemically, I don't have no more new places to go
How come the ecstasy always depresses me so?
Chemically, I don't have no more new places to go
How come the ecstasy always depresses me so?
Chemically, I don't have no more new places to goYou might also like8Embed"
Chanel (Remix),"Chanel (Remix) Lyrics[Verse 1: Frank Ocean]
My guy pretty like a girl
And he got fight stories to tell
I see both sides like Chanel
See on both sides like Chanel
Swimming laps through pool water
Heated like I'm underworld
Hide my tattoos in Shibuya
Police think I'm of the underworld
12 treat a nigga like he 12
How you looking up to me and talking down?
Can't you see I am the big man? (Big man)
God level, I am the ""I Am"" (Whoa)
Now film it with that drone cam
In the pink like Killa Cam
Put a zoom on that stick, Noé
Up so close I'm on that kill
Remote controller on your lower back
Yes, the good
Dick could roll the eyes back in the skull
Rolling when you ride, poppin'
Rolling when you ride, ride the Rodman
Got one that's straight acting
Turnt out like some dirty plastic (Ride)
2016, burnt some discs
2017, ideas playing off a Walkman
This a cult not a clique, on the net
With a cup in a cup, Actavis
That's a double edge, ""Issa knife"" (Knife)
And I don't like to fight 'til I'm fighting (Fighting')
Revenge in the air makes my lungs sick
Chopper in the sky like a gun trick (Yeah)
Clips on clips like Mike
It's really all
[Chorus: Frank Ocean]
I see both sides like Chanel
See on both sides like Chanel

[Bridge: Frank Ocean]
It's really you on my mind
It's really you on my mind
It's really you
It's really you on my mind

[Verse 2: Frank Ocean]
V both sides of the 12
Steam both sides of the L
Freeze smoke rings and they hail
Sleet snow grind for the wealth
Whole team diamonds is real
Showed 'em how to shine by they selves
You need a cosign for your health
I need that bitch to grind on my belt
I know you need to try for my belt
I know you seen it driving itself
No matte black on the ride 'cause it's stale
But it's stealth

[Chorus: Frank Ocean]
I see both sides like Chanel
See on both sides like Chanel
You might also like[Verse 3: Frank Ocean]
My pockets snug
They can't hold my 7
They banned my Visa
My Amex and Mastercards
I got new money
And it's all cash
I got new bags
And they all collabs
I rubber band a bunch of thousand dollar Delta gift cards (I mean my baby bi)
Amazing the cash online unknown (I mean my baby bi)
Blazing the dash counting money at home
My pockets snug
They can't hold my 7
They banned my Visa
My Amex and Mastercards
I got new money
And it's all cash
I got new bags
And they all collabs
I rubber band a bunch of thousand dollar Delta gift cards (I mean my baby bi)
Amazing the cash online unknown (I mean my baby bi)
Blazing the dash counting money at home

[Hook: Frank Ocean]
I see both sides like Chanel
See on both sides like Chanel
Swimming laps through pool water
Heated like I'm underworld
[Hook: Frank Ocean and A$AP Rocky]
I see both sides like Chanel
See on both sides like Chanel
Swimming laps through pool water
Heated like I'm underworld

[Verse 4: A$AP Rocky]
Our lives are factual and actual
Plus you natural and match well
Burdens on my back look like a shell
Purple act, I'm moving like a snail
Both sides even like equal
Both eyes gleaning like a scale
Green and blue, hundreds turning teal
Green and blue, money colored tales
Was such a good guy to Chanel
'Til she caught me sleeping with Charel
The Range, Royce, ring, like Pharrell
Bling so she see that I'm for real
Picture me, a fire burn in Hell
Photography like David LaChapelle
Black lapels and nappy ponytail
Make 'em call me Flacko Lagerfeld

[Chorus: Frank Ocean]
I see both sides like Chanel
See on both sides like Chanel

[Outro: Frank Ocean]
Swimming laps through pool water
Heated like I'm underworld
I see both sides like Chanel
See on both sides like Chanel
Swimming laps through pool water
Heated like I'm underworld15Embed"
Mitsubishi Sony,"Mitsubishi Sony Lyrics[Intro]
That ain't really loud
Couldn't raise his voice 'cause his wind gone
Niggas sound like Reggie
(Already, ran through already
Nigga goin' in, fuck it)

[Verse]
Pray to the pipe, (fuck it) I slide deep inside
Not too deep, not too shallow, I'm mindful of size
She chock full of my swipe, like a capsule sealed tight
With that substance you need, start a family tonight
Big body Merc, LED lights and it's all overprice
The dollar been cheap than a bitch
Tuberose and tulips
On the boxes you're in, from the holes in your skin
Hit the road and get rich or stay home and get broke
It's your choice in the end
Yeah they watching my fence, like they next to my kin
Like they paid by the pope, got some priests by the door
Frisk the demons before they step into my glow
Oh my my
Get it, get itYou might also like12Embed"
Sideways,"Sideways Lyrics[Intro]
Woo! (Woo, woo)
Woo!

[Verse]
I was in all them hours in it
10K, tokin' mid strokes
Prime prime time of my life witcha
Puttin' prime numbers up though
On them 777 flights witcha
Take a shower with it, gotta cleanse it
Keep the safety off innit
Now we finna have a minute
Outta wedlock, God forgive it
Then forget it
'Cause only God can forget it
All this hotel living
Might as well pay the mortgage what I'm spending
Said the dick long as a swan neck
Put some real swans in the pond then
Fell asleep in the foreign
After the free show at the Garden
Let the LED roll, deer hunter
Leave the stage, watch it from the audience
Bet we sell the biggest out next week
On me on, my partners
[Outro]
When I'm up they gon' hate
When I'm sideways, yeah, I set me straight
When I'm up they gon' hate
When I'm down they gon' celebrate
Sittin' sideways, too sideways
Nah, it's not too lateYou might also like12Embed"
In Here Somewhere,"In Here Somewhere Lyrics[Verse: Frank Ocean & Jazmine Sullivan]
I know you're in here somewhere
You came with someone
There's something you need someone out there
But try to love the one you're with tonight
Try to love the one you're with
Tonight late at night sometimes it helps
If you don't have to be all by yourself
In a moment life could end
And this could all be over with
I know you're in here somewhere
You came out alone
Something you need
It's been so long
Gotta find the one
Who'll hold you tight
[Outro: Lil Flip]
Feel what I'm sayin'? (Yeah)
Like 10, 10, 12, 11, 10, 6, aight?
PlatinumYou might also like7Embed"
Hublots,"Hublots Lyrics[Verse]
City view turned to the mountain view
Find a place for a quiet one
Suburbia got a yard
All this estate for my mind to run
(Run, run, run)You might also like7Embed"
Dust,"TranslationsEspañolDust Lyrics[Verse 1]
Who's that talking in the library?
Who's that talking in my library? Is that you?
No, I won't put you out
'Cause what would this place be without my muse?
Nothing special

[Pre-Chorus]
Every book in here, I wrote
Some I'm not too proud of, some I wish I could burn
So many pages I wrote
Wish I could revise them, but there's no erasing
And the best advice I got was keep writing, yeah
And keep living, yeah
And keep loving
Oh, loving and living and loving
[Chorus]
And when the ink dries
And the pages turn to dust, so will we
Turn to dust, so will we
Dust, dust

[Verse 2]
Who's that laughing in my library?
Who's that laughing in my library? Is that you?
No, I won't put you out
'Cause what would this place be without your smile?
Nothing special

[Pre-Chorus]
I fell in love with you, girl, oh-ooh
You let yourself inside, with no respect for privacy
You said, ""There's too much on my mind""
Then you ripped out a page
And set that shit on flame, I quit writing
Oh-ooh, I kept living, oh, whoa, whoa, whoa, ugh
I kept loving, ah, ah

[Chorus]
And when the ink dries
And the pages turn to dust, so will we
Turn to dust, so will we
Dust, dustYou might also like16Embed"
Device Control (Reprise),"Device Control (Reprise) LyricsStarts  at 0:30 and ends at 0:51:

[Intro]
With this Apple appliance, you can capture live videos
Still motion pictures shot at high frequency
Blurring, blurring the line

Starts again at 38:48 and ends at 48:50:

[Chorus]
With this Apple appliance, you can capture live videos
Still motion pictures shot at high frequency
Blurring, blurring the line between still and motion
With this Apple device
You can blur the border between still and motion pictures
You can blur the border between still and motion pictures
[Verse]
With this Sony Telephone 4K video is in your palm
It is in your palm, in your palm
In your hand, in your hand
With your eyes, with your eyes
You can capture real 4K
With this Samsung telephone, we don't call it telephone
I think I saw billboards describing life interactivity
Life sharing, live posting, streaming off your videos
The new Samsung Galaxy allows you to livestream your life
Livestream your life, livestream your life
You can blur the border between still and motion pictures
You can still stream you life
Your life can be streamed
In endless communication
We all show interest in everybody's life
Your life can be streamed
Life, your life can be streamed
Life, life

[Chorus]
You can blur the border between still and motion pictures
You can blur the border between still and motion pictures
You can blur the border between still and motion pictures
You can blur the border
With this device, the border between still and motion pictures is absolutely blurred
You might also like[Outro]
Think of the possibilities, think of the possibilities
Think of the possibilities....with this...
Think of...the...possibilities
With this device, stream your life, it's possible
Streaming life in this device is possible
Streaming life in this device is possible
Streaming life in this device is possible
Streaming life in this device is possible
Streaming life in this device is possible
It's in your palm, dreams of pleasure in your hand
This device in your hand, streaming life in streams of pleasure
Blurred, still and motion, audio
Your life is an active stream of life
This stream of life, on this device
Is causing an interactive stream of life
This stream of life, on this device
Is causing a streamed life
A live stream of my life
Is caused by this device
By this device
An internet Scheiß
Ja, so ein großes device
Das schafft einen stream of life7Embed"
Start,"TranslationsEspañolPolskiStart Lyrics[Intro]
They look like twins
That was embarrassing16Embed"
Scared of Beautiful,"Scared of Beautiful Lyrics[Verse 1]
Turn a lamp on
Let me talk to you
See that light bulb, does something to you
Makes it a little harder to tell a lie don't it?
Make it difficult to run and hide don't it?
Tell the truth to me, good truth to me
Come close to me if that's you
I wanna see the details inside those beautiful eyes
The lies
[Pre-Chorus]
Myself ain't never talked to me like that before (No)
I wonder what on earth he's searching for

[Chorus]
No wonder why there's no mirrors on these walls no more
You can't tell me why you're so terrified of beautiful
Scared of the good more than the evil
Scared of the light more than the dark
Scared of the truth so much more than the lie
I'm scared for you
I'm scared of you
Scared of beautiful

[Verse 2]
Just turn the lamp down
Don't talk to me
That light bulb, took something from me
Or gave something to me
I can't decide, I can't decide
Took freedom, gave purpose
Can't blend in, too perfect
All this beauty ever gave me was a reason for some beautiful lies

[Pre-Chorus]
Myself ain't never talked to me like that before (No)
I wonder what on earth he's searching for
You might also like[Chorus]
No wonder why there's no mirrors on these walls no more
You can't tell me why you're so terrified of beautiful
Scared of the good more than the evil
Scared of the light more than the dark
Scared of the truth so much more than the lie
I'm scared for you
I'm scared of you
Scared of beautiful

[Bridge]
Mirror, mirror on the wall
Who is the fairest of them all
Mirror, mirror oh you're so unfair to all of the beautiful ones

[Chorus]
No wonder why there's no mirrors on these walls no more
You can't tell me why you're so terrified of beautiful
Scared of the good more than the evil
Scared of the light more than the dark
Scared of the truth so much more than the lie
I'm scared for you
I'm scared of you
Scared of beautiful7Embed"
Impietas + Deathwish (ASR),"Impietas + Deathwish (ASR) Lyrics[Part I: Impietas]

[Intro]
Are you against–
You against me, me?
Or are you with me?
Are you with me?
Are you with me?

[Part II: Deathwish]
[Verse]
Is it a deathwish to doze off helpless?
Leave myself at the mercy of you
At the mercy of you
And I be needing my sleep in peace
Need to trust you
At the mercy of you

[Refrain]
You, at the
At the, at the, of you
You, at the
At the, at the, of you
You, at theYou might also like6Embed"
Ambience 001 (A Certain Way),"Ambience 001 (A Certain Way) Lyrics[Interlude: Crystal LaBeija]
(""Feel a certain way—"")
""‘Cause you are beautiful and you are young
You deserve to have the best in life""
(""Feel a certain way—"")You might also like7Embed"
I Miss You (Demo),"I Miss You (Demo) Lyrics[Verse 1]
I thought that things like this get better with time
But I still need you, why is that?
You're the only image in my mind
So I still see you, around

[Hook]
I miss you, like everyday
Wanna be with you, but you're away
Said I miss you, missing you insane
If I got with you, would it feel the same
[Verse 2]
Words don't ever seem to come out right
But I still mean them, why is that?
It hurts my pride to tell you how I feel
But I still need to, now why is that?

[Hook]
Oh it's cause I miss you, like everyday
Wanna be with you, but you're away
I said I miss you, I miss you insane
But if I got with you, would it feel the same

[Verse 3]
And it don't matter who you are
It is so simple, a feeling
But it's everything
No matter who you love
It is so simple, a feeling
But it's everythingYou might also like18Embed"
Rushes To,
Pyrite (Fool’s Gold),"Pyrite (Fool’s Gold) Lyrics[Verse 1]
Babe, just say you miss me, is it that hard?
Too long since I've heard about our love
Am I in this by myself? Hey yeah
With rose colored lenses on my store bought frames
To see something other than these blues and grays
I need something different, hey yeah, yeah, yeah
Cause you ain't feeling the same

[Hook]
Who knows, maybe I'm crazy, that's one big maybe
But even a fool knows when it's gold, gold, gold
I know pyrite from 24 karat, yeah
Cubic's from genuine diamond, yeah
A call from the woman who loves you and hello from a friend
I know when it's real, I know how to tell
I know the difference between what you say and how you feel
Oh, oh I know when it's real
[Verse 2]
Oh, I can tell the difference every time that you call
But I don’t need a drink I need some time in my car
Time to drive and think, time to park and cry
You shoulda known you were beautiful
You shoulda known what I saw in you, yeah
Please forgive me for feeling like it’s all your fault
A heavy heart can’t carry blame for the loss

[Hook]
Who knows, maybe I'm crazy, that's one big maybe
But even a fool knows when it's gold, gold, gold
I know pyrite from 24 karat, yeah
Cubic's from genuine diamond, yeah
A call from the woman who loves you and hello from a friend
I know when it's real, I know how to tell
I know the difference between what you say and how you feel
Oh, oh I know when it's real

[Verse 3]
You might not know this but I’m a man with pride
And this hurts me baby deep down, deep down
I can’t let go of this, gotta know I tried
It’s pathetic baby don’t lie, don’t lie
I’m a candle, you’re the sun
And you’re burning baby, you're burning baby
Burning up, burning up
Burning up, burning up, burning up, yeah
You might also like[Outro]
Pyrite from 24 karat yeah
Cubic’s from genuine diamond yeah
A call from the woman who loves you
And hello from a friend
We'll never be more than friends
We'll never be..15Embed"
Summer Remains,"Summer Remains Lyrics[Verse 1]
My right hand to God
Left hand holding the jewels
And I'm swearing up and down
The tide stole my youth
The creases in my brow ain't tan lines
Saltwater swole my eyes
The sun burnt me black and blue
Too cold this side of June

[Refrain 1]
It ain't natural
[Verse 2]
Right hand in yours
Left hand holding the jewels
When that jungle flower blooms
Better leave it in the ground
Don't try to cut it out
The creases in your brow ain't tan lines
Saltwater swole my eyes
The sun burnt you black and blue on your green eyes
Too cold this side of June

[Refrain 2]
That ain't natural

[Bridge]
I'll rebel, I'll rebel
But this ain't natural
I'll take care, I'll take care
If this ain't going well
I'm no match for you
This isn't hard to tell
That it ain't going well

[Verse 3]
When we're under the palm trees
Thinking heaven must be
Somewhere under these palm trees
With all the hell we're raising
At least we had the palm trees
To save us from the ray beams
But not even the palm trees
Could save us from the flames
Summer remains, ooh
Oh, summer remains
Oh yeah, summer remains
Summer remainsYou might also like10Embed"
Ambience 002 (Honeybaby),"Ambience 002 (Honeybaby) Lyrics[Interlude: Gal Costa]
Oh, minha honey baby! Woo!You might also like6Embed"
White,
Bitches Talkin’ (Metal Gear Solid),"Bitches Talkin’ (Metal Gear Solid) Lyrics[Skit: Woman and Frank Ocean]
Stop! Stop! Stooooop! Let me do it!
(Fine)
No you always play what you want to play. I want to play
You don't got no Jodeci or something?
All you bitches want is Jodeci, what the fuck?
What is a Radiohead anyway?
WhateverYou might also like9Embed"
Pink Matter (Remix),"Pink Matter (Remix) Lyrics[Intro: Big Boi & Frank Ocean]
Remix
And the peaches and the mangos that you could sell for me

[Verse 1: Frank Ocean]
What do you think my brain is made for?
Is it just a container for the mind?
This great grey matter
Sensei replied, ""What is your woman?
Is she just a container for the child?""
That soft pink matter
Cotton candy, Majin Buu, oh, oh, ohh
Close my eyes and fall into you, you, you
My God, she’s giving me pleasure
Oh, nah, nah
[Verse 2: Frank Ocean]
What if the sky and the stars are for show
And the aliens are watching live
From the purple matter?
Sensei went quiet, then violent
And we sparred until we both grew tired
Nothing mattered
Cotton candy, Majin Buu, oh, oh, oh, oh
Dim the lights and fall into you, you, you
My God, giving me pleasure, pleasure
Pleasure, pleasure, pleasure over matter

[Verse 3: Big Boi & Andre 3000]
(Hey, hey) Yeah
Doesn't matter if she wanna be with me, so it's cool
I make her call me B.B. King because I give her the blues
But not on purpose though, she was the perfect ho-stess
When I come over, we would do the grossest
Most beautiful-est things on a bed of roses
Would be the coldest when you hit the hardwood floor
We sippin' 'Gnac, not mimosas
She's in my naked lap, goin' HAM like she supposed to
And she could make it clap if I told her
Or make her ass spread like the back of a cobra
Standin' at attention like a soldier
A G.I. Joe, man, see, me, I go in (Ask a bitch, nigga)
Yeah, that nigga goes up in it
Like smoke through a chimney (Hey, hey)
Slow stroke, 'cause she feelin' me up in her, nigga
Killin' me softly, raw dog, she wants me
Strong and black like her coffee, get off me
Act a donkey, I pin her tail to the mattress
I've been a player, make her go from classy to nasty
Nasty, nasty, nasty, nasty (Ha, ha, ha)
To sloosh (Hey, hey)
You might also like[Verse 4: André 3000]
Since you been gone, I been having withdrawals
You were such a habit to call
I ain't myself at all, had to tell myself, ""Naw
She better with some fella with a regular job""
I didn't wanna get her involved
By dinner, Mr. Benjamin was sitting in awe
Hops into my car, drove far
Far’s too close and I remember my memory's no sharp
Butterknife, what a life, anyway
I'm building y'all a clock, stop, what am I, Hemingway?
She had the kind of body that would probably intimidate
Any of 'em that were un-southern, not me, cousin
If models are made for modelin', thick girls are made for cuddlin'
Switch worlds and we can huddle then
Who needs another friend? I need to hold your hand
You'd need no other man, we'd flee to other lands

[Bridge: Frank Ocean]
Grey matter
Blue used to be my favorite color
Now I ain't got no choice
Blue matter

[Outro: André 3000]
You're good at being bad (Yep)
You're bad at being good (Oh)
For Heaven's sakes, go to Hell
Kno-, knock on wood, hey
You're good at being bad (You're bad at being good)
You're bad at being good
(For Heaven's sakes, go to Hell, knock on wood)
For Heaven's sakes, go to Hell
Knock, knock, knock, knock on wood
Well frankly when that ocean so muh'fuckin' good
Make her swab the muh'fuckin' wood
Make her walk the muh'fuckin' plank
Make her rob a muh'fuckin' bank
With no mask on and a rusty revolver10Embed"
If I’m in Love,"If I’m in Love Lyrics[Verse 1]
I got a question I wanna ask my momma
But she's been gone for some years now
I need the answers, I want to ask my friends
But they're to cool to be honest
And she's gone take it the wrong way if I question her
It just might break her heart, man
I can't ask my girl

[Hook]
So I'm gonna ask Lennon
And I'mma ask Donny
And I'mma ask Stevie
And I'mma ask Prince
If I'm in love
If I'm in love
My headphones won't lie, if I'm in love
Tell me, tell me
If I'm in love
My headphones won't lie, if I'm in love
Tell me, tell me
Am I in love?
[Verse 2]
Who the hell knows who Purple Rain is?
And am I standing in it?
I sing along to every single word though
And I feel like I need them
'Cause for all I know
Rocket love flew past me yesterday
But I gotta know for sure

[Hook]
So I'm gonna ask Lennon
And I'mma ask Donny
And I'mma ask Stevie
And I'mma ask Prince
If I'm in love
If I'm in love
My headphones won't lie, if I'm in love
Tell me, tell me
If I'm in love
My headphones won't lie, if I'm in love
Tell me, tell me
Am I in love?You might also like4Embed"
Florida,Florida Lyrics[Harmonizing + Instrumental]You might also like1Embed
Xenons,"Xenons Lyrics[Intro]
Oh, yes
Oh, slide

[Verse]
Xenons with the blue color
If that’s a lease, least it look cool on you
That’s your business and I’m off, when I’m on you
Like holidays, I get off on youYou might also like6Embed"
Bedtime Story,"Bedtime Story Lyrics[Verse 1]
My pillows ain't giving no comfort
And the fan is blowing way too loud
Even my heartbeat wakes me up
And I can't drown it out

[Pre-Hook]
Cause my eyelids ain't heavy enough
And there ain't enough sheep on my ceiling to count

[Hook 1]
Ain’t slept a wink since you left me
No inspiration to dream, baby
You're my bedtime story
Bedtime but I can't sleep
No bedtime story, bedtime story, oh
[Verse 2]
I never really liked this apartment, no
There's not enough windows
That ain't the reason you left
I did that by myself
But I wish you'd come back before the sun comes up again

[Pre-Hook]
Cause my eyelids ain't heavy enough
And there ain't enough sheep on my ceiling to count

[Hook 1]
Ain’t slept a wink since you left me
No inspiration to dream, baby
You're my bedtime story
Bedtime but I can't sleep
No bedtime story, bedtime story, oh

[Hook 2]
You gotta let me read just a page of you baby
You gotta help me sleep this ain't healthy, no way
Where's my bedtime story
Just three words to my bedtime story, bedtime story oh

[Bridge]
Every time I lay my head down
Baby I, baby I, baby I'm thinking of you
Baby I-I'm thinking of you
Every time I lay my head down
Baby I, baby I, baby I'm thinking of you
Baby I-I'm thinking of you
You might also like[Hook 1]
Ain’t slept a wink since you left me
No inspiration to dream, baby
You're my bedtime story
Bedtime but I can't sleep
No bedtime story, bedtime story, oh

[Hook 2]
You gotta let me read just a page of you baby
You gotta help me sleep this ain't healthy, no way
Where's my bedtime story
Just three words to my bedtime story, bedtime story oh

I love you, I love you8Embed"
Poolside Convo (Self Control Intro),"Poolside Convo (Self Control Intro) Lyrics[Verse]
Grandmommy told me: ""Don't run from no police"" (Fuck 'em)
Grandmommy told me: ""Watch out for yo partners"" (I love 'em)
Saying ""They too much older, won't you stay in your range?""
I been trying to sponge, been trying to know some things
See the mailman keep coming, and the bills keep on coming in
And all you wanna do is fight me on this shit
You say: ""Don't go bending yo wrist, don't go being no sissy.""
OK
""Don't go locking no doors, you ain't paying no rent in this bitch,"" OK
Checks I used to bring
They wouldn't make no difference in this bitch
Now the checks I bring, I mean
Who else paying the rent in this bitch?
Landlord see me outside, wanna take a picture
I said I gotta autograph on the check you can take it with ya
He said, ""The house on sale, you wanna buy it?""
I say, ""Not this one.""
Gotta make moves, not a ton of moves, tryna keep it simple
This summer
Said you didn't wanna go with me
That's a bumma, bumma, bumma, yeah
Boppin' at Bacchus, that was the first parade
Bounce remixes of Aaliyah had the spinal cords crackin', crackin'
Cups of methazine had 'em lean like Michael Jackson
Yeah
And you was fuckin' with your nose trying to be a Jackson
Oh yeah
Poolside convo about your summer last night
About your summer last night
Ain't give you no play, hmm
Could I make you shive last night?
Could I make you shy on the last night, last night?
Could we make it in? Do we have time?You might also like12Embed"
